datetime;price;volume
2022-01-10 14:46:00;8.72;-5.23
2022-01-10 14:47:00;8.72;24.29
2022-01-10 14:48:00;8.72;27.32
2022-01-10 14:49:00;8.72;68.60
2022-01-10 14:50:00;8.72;48.69
2022-01-10 14:51:00;8.72;97.92
2022-01-10 14:52:00;8.72;66.00
2022-01-10 14:53:00;8.72;29.69
2022-01-10 14:54:00;8.73;-130.71
2022-01-10 14:55:00;8.72;-140.69
2022-01-10 14:56:00;8.72;32.69
2022-01-10 14:57:00;8.72;0.00
2022-01-10 14:58:00;8.72;0.00
2022-01-10 14:59:00;8.72;0.00
2022-01-10 15:00:00;8.72;-2942.50
